,Unnamed: 0,name,zip code
0,0,Trader Joe's Hollywood (206),90028
1,1,Trader Joe's Los Angeles - 3rd & Fairfax (240),90036
2,2,Trader Joe's Los Angeles - Burton Way (237),90048
3,3,Trader Joe's Los Angeles (31),90036
4,4,Trader Joe's Olympic Blvd (215),90064
5,5,Trader Joe's Silver Lake (17),90027
6,6,Trader Joe's Sunset Blvd (192),90046
7,7,Trader Joe's USC Village (250),90089
8,8,Trader Joe's West Los Angeles - Sepulveda (119),90034
9,9,Trader Joe's West Los Angeles (7),90064
10,10,Trader Joe's Westwood (234),90024
